"","player","pos","age","bref_team_id","g","gs","mp","fg","fga","fg.","x3p","x3pa","x3p.","x2p","x2pa","x2p.","ft","fta","ft.","orb","drb","trb","ast","stl","blk","tov","pf","pts","table_name","season","data_source","scrape_time"
"2870","Jordan Farmar","PG",22,"LAL",65,0,18.3,2.5,6.3,39.1,0.8,2.2,33.6,1.7,4.1,42.1,0.7,1.2,58.4,0.3,1.5,1.8,2.4,0.9,0.2,1.3,1.6,6.4,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2871","Desmon Farmer","SG",27,"SAS",3,0,18,1.3,4.7,28.6,1,4,25,0.3,0.7,50,0.7,0.7,100,0,2,2,0.7,0,0,1.3,2,4.3,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2872","Raymond Felton","PG",24,"CHA",82,81,37.6,5.4,13.2,40.8,0.7,2.5,28.5,4.7,10.7,43.7,2.7,3.3,80.5,0.7,3.1,3.8,6.7,1.5,0.4,2.8,2.3,14.2,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2873","Rudy Fernandez","SG",23,"POR",78,4,25.6,3.4,8.1,42.5,2,5.1,39.9,1.4,3,47,1.5,1.8,83.9,0.6,2.1,2.7,2,0.9,0.2,1.1,1.4,10.4,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2874","Kyrylo Fesenko","C",22,"UTA",21,1,7.4,1,1.7,58.3,0,0,0,1,1.7,58.3,0.3,1,33.3,0.7,1.1,1.8,0.2,0.3,0.7,0.4,1.7,2.3,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2875","Michael Finley","SF",35,"SAS",81,77,28.8,3.7,8.5,43.7,1.6,3.9,41.1,2.1,4.6,45.9,0.6,0.8,82.3,0.3,3,3.3,1.4,0.5,0.2,0.8,1,9.7,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2876","Derek Fisher","PG",34,"LAL",82,82,29.8,3.6,8.4,42.4,1.5,3.7,39.7,2.1,4.7,44.6,1.3,1.6,84.6,0.3,2,2.3,3.2,1.2,0.1,0.9,2.3,9.9,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2877","T.J. Ford","PG",25,"IND",74,49,30.5,5.6,12.3,45.2,0.5,1.4,33.7,5.1,10.9,46.7,3.3,3.8,87.2,0.8,2.7,3.5,5.3,1.2,0.2,2.4,2.4,14.9,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2878","Jeff Foster","C",32,"IND",74,26,24.7,2.4,4.8,50.1,0,0.1,28.6,2.4,4.7,50.6,1.3,2,65.8,2.9,4,6.9,1.8,0.7,0.7,1.2,3.1,6.1,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2879","Randy Foye","SG",25,"MIN",70,61,35.6,5.7,14,40.7,1.6,4.4,36,4.1,9.6,42.8,3.3,3.9,84.6,0.5,2.6,3.1,4.3,1,0.4,2.1,2.9,16.3,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2880","Adonal Foyle","C",33,"TOT",10,0,6.2,0.7,1.1,63.6,0,0,0,0.7,1.1,63.6,0.3,0.6,50,0.9,1.7,2.6,0.1,0,0.8,0.3,0.5,1.7,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2881","Channing Frye","PF",25,"POR",63,1,11.8,1.8,4.2,42.3,0.2,0.5,33.3,1.6,3.7,43.6,0.4,0.6,72.2,0.7,1.6,2.2,0.4,0.3,0.3,0.5,1.7,4.2,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2882","Dan Gadzuric","C",30,"MIL",67,26,14,1.7,3.6,48,0,0,0,1.7,3.6,48.3,0.6,1,54.4,1.4,2.4,3.8,0.6,0.5,0.6,0.6,2.4,4,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2883","Danilo Gallinari","SG",20,"NYK",28,2,14.7,2,4.5,44.8,1.1,2.6,44.4,0.9,1.9,45.3,0.9,1,96.3,0.5,1.5,2,0.5,0.5,0.1,0.5,1.7,6.1,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
