"","player","pos","age","bref_team_id","g","gs","mp","fg","fga","fg.","x3p","x3pa","x3p.","x2p","x2pa","x2p.","ft","fta","ft.","orb","drb","trb","ast","stl","blk","tov","pf","pts","table_name","season","data_source","scrape_time"
"1","Quincy Acy","PF",24,"NYK",12,7,22.2,2.1,4.5,0.463,0,0.2,0,2.1,4.3,0.481,0.9,1.1,0.846,2.3,3.8,6,1.3,0.3,0.3,1.3,2.9,5.1,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"2","Jordan Adams","SG",20,"MEM",4,0,10.3,0.3,1.5,0.167,0.3,0.5,0.5,0,1,0,0.8,1,0.75,0,0.8,0.8,1.3,0.8,0.3,0.5,1,1.5,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"3","Steven Adams","C",21,"OKC",15,15,26.6,3.3,6.4,0.521,0,0.1,0,3.3,6.3,0.526,1.7,3.2,0.521,2.5,4.1,6.6,0.9,0.6,1.3,2.1,3.4,8.3,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"4","Arron Afflalo","SG",29,"DEN",14,14,30.6,5.1,11.5,0.441,1.7,4.6,0.375,3.4,6.9,0.485,1.9,2.2,0.871,0.4,2.9,3.2,1.6,0.4,0.1,0.6,2.1,13.8,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"5","Alexis Ajinca","C",26,"NOP",10,4,12.7,1.8,2.7,0.667,0,0,NA,1.8,2.7,0.667,1.2,1.5,0.8,1.1,2.5,3.6,0.3,0.1,0.4,1.1,2.8,4.8,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"6","Cole Aldrich","C",26,"NYK",9,0,10.3,1,2.3,0.429,0,0,NA,1,2.3,0.429,0.2,0.2,1,1.1,2.3,3.4,0.7,0.3,0.7,0.4,2.3,2.2,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"7","LaMarcus Aldridge","PF",29,"POR",13,13,34.8,8.6,18.5,0.467,0.6,1.2,0.533,8,17.3,0.462,4.3,5.1,0.848,2.5,6.2,8.8,2.4,0.5,1.2,1,1.6,22.2,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"8","Lavoy Allen","PF",25,"IND",14,0,22.6,3.2,6.7,0.479,0,0,NA,3.2,6.7,0.479,0.5,0.6,0.875,3.1,4.5,7.6,1.3,0.3,1,0.7,2.2,6.9,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"9","Tony Allen","SG",33,"MEM",12,12,26.7,3.1,6.7,0.463,0.1,0.5,0.167,3,6.2,0.486,1.1,1.8,0.619,1.5,3,4.5,1.8,1.9,0.3,1,3.4,7.3,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"10","Al-Farouq Aminu","SF",24,"DAL",15,0,16.5,2.1,4.4,0.47,0.5,1.7,0.269,1.6,2.7,0.6,0.5,0.9,0.615,0.8,3.4,4.2,0.5,0.7,0.8,0.5,1.7,5.1,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"11","Louis Amundson","F",32,"CLE",4,0,7.5,0.8,1.3,0.6,0,0,NA,0.8,1.3,0.6,0.3,0.5,0.5,0.5,1.8,2.3,0.5,0.3,0,0.5,1.5,1.8,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"12","Chris Andersen","C",36,"MIA",9,0,15.8,0.7,1.6,0.429,0,0.1,0,0.7,1.4,0.462,0.9,2,0.444,0.9,2,2.9,0.4,0.4,0.7,0.9,1.4,2.2,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"13","Alan Anderson","SG",32,"BRK",13,0,18.5,1.5,3.8,0.388,0.5,1.8,0.292,0.9,1.9,0.48,0.6,0.8,0.727,0.8,1.6,2.4,0.6,0.4,0.2,0.8,2.2,4.1,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"14","Kyle Anderson","SF",21,"SAS",7,0,13.1,0.3,3.3,0.087,0,0.7,0,0.3,2.6,0.111,0.3,0.4,0.667,0,2.4,2.4,1,0.3,0.4,0.1,1.1,0.9,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"15","Ryan Anderson","PF",26,"NOP",13,0,27.8,5.8,14.1,0.41,2.5,7,0.363,3.2,7.1,0.457,1.2,1.5,0.8,1.9,3.3,5.2,0.7,0.5,0.3,0.5,2.2,15.3,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"16","Giannis Antetokounmpo","SG",20,"MIL",15,5,26.7,4.3,9,0.481,0.1,0.7,0.182,4.2,8.3,0.508,3,4.1,0.738,1,4.5,5.5,1.8,0.9,0.4,1.7,2.3,11.8,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"17","Carmelo Anthony","SF",30,"NYK",15,15,34.5,8.8,18.4,0.478,1.5,3.7,0.411,7.3,14.7,0.495,4.1,5.3,0.763,1.5,4.3,5.8,3.2,0.6,0.3,2.3,2.7,23.2,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"18","Joel Anthony","C",32,"DET",8,0,7.1,0.4,0.6,0.6,0,0,NA,0.4,0.6,0.6,0,0.1,0,0.4,1.5,1.9,0.1,0.1,0.5,0.3,1.3,0.8,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"19","Pero Antic","PF",32,"ATL",11,0,16.5,1.7,4.6,0.373,0.6,2.6,0.241,1.1,2,0.545,0.7,1,0.727,1,2,3,0.7,0.2,0.5,0.5,1.9,4.8,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"20","Trevor Ariza","SF",29,"HOU",14,14,36.1,4.4,11.1,0.397,2.4,6.6,0.366,2,4.5,0.444,2.4,2.7,0.868,0.9,4.6,5.6,2.6,1.9,0,1.7,2.4,13.6,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"21","Darrell Arthur","PF",26,"DEN",13,0,15.5,2.7,6.2,0.438,0.8,2.8,0.297,1.8,3.3,0.558,0.8,1.1,0.786,0.9,2.7,3.6,1.1,0.8,0.2,0.8,2.5,7.1,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"22","Omer Asik","C",28,"NOP",9,9,27.1,3.2,5.7,0.569,0,0,NA,3.2,5.7,0.569,1.9,3.4,0.548,3.7,6,9.7,1.3,0.6,1.1,0.8,2.8,8.3,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"23","D.J. Augustin","PG",27,"DET",14,1,22.6,3,8.5,0.353,0.6,2.7,0.237,2.4,5.8,0.407,3.4,4.1,0.828,0.2,1.8,2,3,0.5,0,1.9,1.4,10.1,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"24","Jeff Ayres","PF",27,"SAS",10,0,8.4,0.7,1.9,0.368,0,0,NA,0.7,1.9,0.368,0.4,0.4,1,0.9,1.7,2.6,0.5,0.1,0.3,0.7,1.6,1.8,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"25","Luke Babbitt","SF",25,"NOP",9,0,12.9,0.8,1.9,0.412,0.7,1.1,0.6,0.1,0.8,0.143,0,0,NA,0.1,1.7,1.8,0.7,0.3,0.2,0.6,1.7,2.2,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"26","Cameron Bairstow","PF",24,"CHI",4,1,7.5,0.3,1.3,0.2,0,0,NA,0.3,1.3,0.2,0.3,0.5,0.5,0.8,0,0.8,0.3,0,0.3,0.8,1.3,0.8,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"27","Leandro Barbosa","SG",32,"GSW",13,1,15.4,2.7,5.7,0.473,0.3,1.4,0.222,2.4,4.3,0.554,0.6,0.9,0.667,0.5,1,1.5,1.5,0.9,0.3,1,1.8,6.3,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"28","Jose Barea","PG",30,"DAL",14,0,16.6,3.1,6.6,0.462,0.6,1.5,0.429,2.4,5.1,0.472,1.3,1.6,0.818,0.2,1.4,1.6,4.4,0.8,0,0.8,1.5,8.1,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"29","Harrison Barnes","SF",22,"GSW",13,13,29.6,3.8,7.6,0.495,1.1,2.5,0.424,2.7,5.1,0.53,2.5,3.1,0.8,1.1,4.8,5.8,1.5,0.4,0.3,1,1.8,11.1,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"30","Matt Barnes","SF",34,"LAC",12,10,25.3,2.8,6.2,0.446,1.3,3.7,0.364,1.4,2.5,0.567,1,1.4,0.706,0.2,1.9,2.1,0.5,0.4,0.5,0.8,2.6,7.8,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"31","Will Barton","SG",24,"POR",11,0,10.4,1.2,3.3,0.361,0.2,0.5,0.333,1,2.7,0.367,0.2,0.5,0.4,0,0.8,0.8,0.8,0.5,0.1,0.8,1.1,2.7,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"32","Brandon Bass","PF",29,"BOS",12,0,18.5,3.2,6,0.528,0,0.2,0,3.2,5.8,0.543,2,2.3,0.889,0.7,2.8,3.4,1,0.6,0.3,0.9,1.5,8.3,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"33","Nicolas Batum","SF",26,"POR",10,10,31.9,3.4,8.5,0.4,1.3,4.1,0.317,2.1,4.4,0.477,0.9,1,0.9,0.9,5.9,6.8,5,1,0.6,2,2.1,9,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"34","Jerryd Bayless","PG",26,"MIL",15,1,17.6,2,4.8,0.417,0.3,1.3,0.25,1.7,3.5,0.481,1.6,1.7,0.96,0.1,1.3,1.5,2,0.7,0,1.3,1.9,5.9,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"35","Aron Baynes","C",28,"SAS",13,2,16.5,2.7,4.9,0.547,0,0,NA,2.7,4.9,0.547,1,1.3,0.765,1.8,3,4.8,0.8,0.2,0.3,1.1,2.7,6.4,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"36","Kent Bazemore","SG",25,"ATL",7,0,11.1,0.7,2.7,0.263,0.1,0.7,0.2,0.6,2,0.286,0.3,0.6,0.5,0.1,1.3,1.4,0.7,0.4,0.1,0.7,1.4,1.9,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"37","Bradley Beal","G",21,"WAS",4,0,31.5,6.3,13.8,0.455,1.5,3.5,0.429,4.8,10.3,0.463,1.8,2.3,0.778,1.5,2.5,4,3.5,1,0,3.5,3.8,15.8,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"38","Marco Belinelli","SG",28,"SAS",5,2,15.4,2,3.6,0.556,1,2,0.5,1,1.6,0.625,1,1.4,0.714,0.2,1.8,2,1.6,0.6,0,0.8,1.2,6,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"39","Anthony Bennett","PF",21,"MIN",11,2,17.3,3.3,6.2,0.529,0,0,NA,3.3,6.2,0.529,1,1.5,0.688,0.9,2.5,3.5,1.1,0.6,0.6,0.5,1.8,7.5,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"40","Patrick Beverley","PG",26,"HOU",7,7,29.7,4.3,9.1,0.469,2.9,6.1,0.465,1.4,3,0.476,1.1,2,0.571,1,3.3,4.3,2.1,1,0.3,1,3.4,12.6,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"41","Bismack Biyombo","C",22,"CHO",8,0,13.4,1.3,2.3,0.556,0,0,NA,1.3,2.3,0.556,1.4,2.3,0.611,2,3.3,5.3,0.3,0.3,1.5,0.9,1.6,3.9,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"42","Tarik Black","PF",23,"HOU",12,4,16,1.6,3.3,0.487,0,0,NA,1.6,3.3,0.487,0.5,1.3,0.4,2.1,2.8,4.8,0.2,0.3,0.1,0.9,2.3,3.7,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"43","DeJuan Blair","PF",25,"WAS",3,0,3.7,0.3,0.3,1,0,0,NA,0.3,0.3,1,0,0,NA,0,0.3,0.3,0.3,0.3,0,0.3,1.7,0.7,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"44","Steve Blake","PG",34,"POR",14,0,22.2,1.6,4.7,0.348,1.1,3.4,0.319,0.6,1.4,0.421,0.4,0.4,0.833,0.2,2.1,2.4,4.4,0.7,0.1,1.4,1.8,4.7,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"45","Eric Bledsoe","PG",25,"PHO",15,15,30.8,4.7,10.5,0.449,1,2.8,0.357,3.7,7.7,0.483,3.7,4.7,0.789,0.9,4.5,5.4,5.5,1.2,0.6,3.3,2.7,14.2,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"46","Bojan Bogdanovic","SF",25,"BRK",13,13,30.7,3.6,8.6,0.42,1.5,4.4,0.333,2.2,4.2,0.509,1.2,1.4,0.889,0.8,1.9,2.7,0.9,0.5,0.1,1.2,1.5,9.9,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"47","Andrew Bogut","C",30,"GSW",13,13,25.8,3.8,6.2,0.613,0,0,NA,3.8,6.2,0.613,0.5,0.8,0.545,1.9,7.3,9.2,2.9,0.8,1.8,2,2.9,8,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"48","Matt Bonner","PF",34,"SAS",7,6,18.1,2.3,5.4,0.421,1.4,3.4,0.417,0.9,2,0.429,0.6,0.6,1,0.4,1.7,2.1,1.1,0.1,0.1,0.1,2,6.6,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"49","Trevor Booker","PF",27,"UTA",15,0,20.4,3.1,5.9,0.534,0.5,1.2,0.389,2.7,4.7,0.571,1.1,1.9,0.586,1.3,2.7,4,1.1,0.6,0.3,1.4,1.9,7.9,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"50","Carlos Boozer","PF",33,"LAL",13,13,27.5,5.8,11.8,0.49,0,0,NA,5.8,11.8,0.49,1.8,2.5,0.697,1.9,4.5,6.5,1.7,0.5,0.1,1.5,3.4,13.3,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"51","Chris Bosh","C",30,"MIA",15,15,35.1,7.5,16.5,0.452,1.4,3.7,0.382,6.1,12.9,0.472,5.3,6.4,0.833,1.7,7.1,8.8,2.4,1,0.7,2.3,1.6,21.7,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"52","Avery Bradley","SG",24,"BOS",12,12,30.8,6,13.4,0.447,1.3,4.4,0.302,4.7,9,0.519,0.8,0.9,0.818,0.4,2.2,2.6,1,0.8,0.2,1.5,2.3,14.1,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"53","Elton Brand","PF",35,"ATL",2,0,10.5,1.5,2,0.75,0,0,NA,1.5,2,0.75,0.5,2,0.25,0,1.5,1.5,1,0.5,0.5,1,0.5,3.5,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"54","Corey Brewer","SF",28,"MIN",12,4,24.8,3.8,8.3,0.465,0.2,1,0.167,3.7,7.3,0.506,2.5,3.8,0.652,1.3,1.7,2.9,1.9,2.1,0,1.3,2.2,10.3,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"55","Aaron Brooks","PG",30,"CHI",15,1,20.5,3.9,8.6,0.457,1.5,3.2,0.458,2.5,5.4,0.457,1.6,2,0.8,0.3,1.2,1.5,3.1,0.6,0.2,2.2,2.5,10.9,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"56","Markel Brown","G",23,"BRK",1,0,3,1,2,0.5,1,1,1,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,3,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"57","Shannon Brown","SG",29,"MIA",5,2,17.8,1.4,3.8,0.368,0.6,1.4,0.429,0.8,2.4,0.333,0.6,0.8,0.75,0,0.2,0.2,0.6,0.8,0,0.8,1.6,4,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"58","Kobe Bryant","SG",36,"LAL",14,14,35.7,9.1,24,0.381,1.7,6.1,0.279,7.4,17.9,0.416,6.7,8.5,0.79,0.8,4.4,5.1,4.2,1.3,0.2,3,2.2,26.7,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"59","Chase Budinger","SF",26,"MIN",10,0,11.1,1.1,3.6,0.306,0.6,1.4,0.429,0.5,2.2,0.227,0.8,0.9,0.889,0,2.2,2.2,0.2,0.2,0.1,0.3,0.4,3.6,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"60","Reggie Bullock","SF",23,"LAC",8,1,10,1,2.3,0.444,0.9,1.8,0.5,0.1,0.5,0.25,0,0,NA,0,1.3,1.3,0.3,0,0.1,0.3,0.6,2.9,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"61","Trey Burke","PG",22,"UTA",15,15,32.3,4.3,11.7,0.364,1.3,4.5,0.284,3,7.3,0.413,1.3,1.5,0.826,0.5,1.7,2.2,5.8,1.1,0.5,2.1,1.8,11.1,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"62","Alec Burks","SG",23,"UTA",15,15,33.7,4.2,10.9,0.387,0.9,2.3,0.382,3.3,8.6,0.388,3.3,3.9,0.862,0.7,3.9,4.5,2.9,0.6,0.3,2.3,2.4,12.6,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"63","Caron Butler","SF",34,"DET",14,0,26.6,2.8,6.7,0.415,1.3,3.4,0.375,1.5,3.3,0.457,1.1,1.2,0.882,0.6,3.7,4.3,0.7,0.4,0,0.9,1.9,7.9,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"64","Jimmy Butler","SG",25,"CHI",13,13,39.2,7,14,0.5,0.8,2.5,0.333,6.2,11.5,0.537,6.8,8.2,0.822,2,4.1,6.1,3.2,1.6,0.5,1.8,2.2,21.6,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"65","Rasual Butler","SF",35,"WAS",9,0,15.4,2.7,4.6,0.585,1.4,2.7,0.542,1.2,1.9,0.647,0.4,0.4,1,0.1,1.3,1.4,0.9,0.2,0.1,0.3,1.6,7.2,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"66","Bruno Caboclo","F",19,"TOR",1,0,12,3,6,0.5,2,3,0.667,1,3,0.333,0,0,NA,0,1,1,0,0,1,1,1,8,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"67","Nick Calathes","G",25,"MEM",1,0,8,0,1,0,0,1,0,0,0,NA,0,0,NA,1,0,1,0,0,0,0,0,0,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"68","Jose Calderon","G",33,"NYK",2,2,23.5,2,6.5,0.308,1,3,0.333,1,3.5,0.286,1,1,1,0,2,2,4,1,0,0.5,0.5,6,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"69","Kentavious Caldwell-Pope","SG",21,"DET",14,14,33.1,4.1,11.6,0.35,1.8,5.4,0.329,2.3,6.2,0.368,0.9,1.6,0.591,0.7,2.4,3.1,1.1,0.8,0.1,0.9,2.2,10.9,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"70","Isaiah Canaan","PG",23,"HOU",12,7,21.8,2.8,6.9,0.41,1.6,4.1,0.388,1.3,2.8,0.441,0.8,1.1,0.769,0.5,1,1.5,1.7,0.8,0,1.6,1.8,8.1,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"71","Clint Capela","C",20,"HOU",1,0,6,0,0,NA,0,0,NA,0,0,NA,0,4,0,0,3,3,1,0,0,1,1,0,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"72","DeMarre Carroll","SF",28,"ATL",8,8,33.8,4,8.9,0.451,1.6,4.3,0.382,2.4,4.6,0.514,2,2.9,0.696,1.9,4.5,6.4,1.4,1.4,0,0.9,3.1,11.6,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"73","Vince Carter","SG",38,"MEM",13,0,16.2,2.2,6.5,0.345,1,3.4,0.295,1.2,3.1,0.4,0.3,0.5,0.667,0.5,1.8,2.3,1.5,0.6,0.2,1,1.5,5.8,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"74","Michael Carter-Williams","G",23,"PHI",7,4,29.9,5.9,16.1,0.363,0.7,3.4,0.208,5.1,12.7,0.404,3.3,5.1,0.639,1.4,4.4,5.9,4,1.1,0,4.1,2.3,15.7,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"75","Omri Casspi","SF",26,"SAC",14,1,17.9,2.9,5.3,0.541,0.1,0.8,0.182,2.7,4.5,0.603,2.5,2.9,0.854,0.8,2.6,3.4,1.4,0.3,0.1,0.9,1.8,8.4,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"76","Mario Chalmers","PG",28,"MIA",15,6,31.2,4.6,10,0.46,1.2,3.5,0.34,3.4,6.5,0.526,4.2,5.4,0.778,0.4,2.1,2.5,4.8,1.7,0.2,2.6,3.5,14.6,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"77","Tyson Chandler","C",32,"DAL",15,15,27.5,4.1,5.9,0.697,0,0,NA,4.1,5.9,0.697,2.1,2.7,0.775,3.5,6.8,10.3,1.3,0.3,1.4,1.4,2.3,10.3,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"78","Wilson Chandler","SF",27,"DEN",14,12,29.3,4.6,11.1,0.419,2,5.5,0.364,2.6,5.6,0.474,1.4,1.7,0.792,0.8,5,5.8,1.5,0.6,0.6,1.4,3.3,12.6,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"79","Will Cherry","PG",23,"CLE",6,0,7.3,0.7,2.2,0.308,0.3,1,0.333,0.3,1.2,0.286,0.2,0.3,0.5,0.2,0.7,0.8,1.3,0.5,0.2,0.7,1.3,1.8,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"80","Ian Clark","SG",23,"UTA",6,0,5.8,1,1.8,0.545,0.5,0.8,0.6,0.5,1,0.5,0.2,0.2,1,0,0.5,0.5,0.2,0.5,0.2,0.2,0.5,2.7,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"81","Jordan Clarkson","PG",22,"LAL",10,0,12.2,1.5,3.8,0.395,0.3,0.7,0.429,1.2,3.1,0.387,1.7,2.1,0.81,0.4,1,1.4,0.7,0.6,0.1,0.4,1,5,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"82","Norris Cole","PG",26,"MIA",13,13,24.1,2.8,7.1,0.391,0.9,2.8,0.324,1.8,4.2,0.436,0.7,0.8,0.9,0.1,2,2.1,3.4,1.1,0.2,1.2,1.6,7.2,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"83","Darren Collison","PG",27,"SAC",12,12,35.3,5.1,11.5,0.442,0.8,2.8,0.273,4.3,8.8,0.495,5,6.1,0.822,0.6,2.9,3.5,7,1.6,0.4,1.9,1.8,15.9,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"84","Nick Collison","PF",34,"OKC",15,0,20.1,1.8,4.6,0.391,0.7,2,0.367,1.1,2.6,0.41,0.8,1.5,0.545,1,2.9,3.9,1.6,0.5,0.3,0.7,2.4,5.1,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"85","Mike Conley","PG",27,"MEM",14,14,32.2,5.5,12.7,0.433,1.5,3.2,0.467,4,9.5,0.421,3.7,4.5,0.825,0.3,2.4,2.6,6.1,1.2,0.1,2,2.2,16.2,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"86","Chris Copeland","SF",30,"IND",14,8,30.3,4.7,12.7,0.371,2.3,6.6,0.348,2.4,6.1,0.395,1.2,1.9,0.654,1.1,3.1,4.2,1.6,0.4,0.2,2.6,2.5,12.9,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"87","DeMarcus Cousins","C",24,"SAC",14,14,31.7,8.4,16.3,0.513,0,0,NA,8.4,16.3,0.513,6.4,7.9,0.802,3.1,9.2,12.3,2.1,1.2,1.4,3.4,4.6,23.1,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"88","Robert Covington","F",24,"PHI",5,0,12,1.4,4,0.35,1,1.8,0.556,0.4,2.2,0.182,1.8,2,0.9,0.2,1.8,2,0.6,1,0,0.6,2.2,5.6,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"89","Allen Crabbe","SG",22,"POR",9,4,15.8,1.7,3.9,0.429,0.9,2.3,0.381,0.8,1.6,0.5,0.4,0.4,1,0.4,1,1.4,1,0.2,0.1,0.4,1.4,4.7,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"90","Jamal Crawford","SG",34,"LAC",12,2,28.3,5.8,12.9,0.445,2.2,5.9,0.366,3.6,7,0.512,3.9,4.4,0.887,0,1.9,1.9,3.3,1.1,0.1,1.5,2.3,17.6,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"91","Jae Crowder","SF",24,"DAL",13,0,9.5,1.3,3,0.436,0.5,1.5,0.35,0.8,1.5,0.526,0.5,0.6,0.875,0.2,0.5,0.7,0.5,0.4,0.2,0.3,0.8,3.7,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"92","Jared Cunningham","SG",23,"LAC",8,0,4.5,0.5,1.8,0.286,0,0.6,0,0.5,1.1,0.444,0.1,0.3,0.5,0,0.1,0.1,0.3,0.1,0,0.1,0.9,1.1,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"93","Stephen Curry","PG",26,"GSW",13,13,33.5,8.2,16.8,0.486,3.3,7.8,0.426,4.8,9,0.538,4.3,4.6,0.933,0.5,5.1,5.5,7.7,2.2,0.1,3.5,2.6,23.9,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"94","Samuel Dalembert","C",33,"NYK",15,15,17.4,1.5,3.4,0.451,0,0,NA,1.5,3.4,0.451,0.3,0.3,0.8,1.5,3.1,4.5,1.4,0.2,1.4,1.2,1.8,3.3,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"95","Troy Daniels","SG",23,"HOU",9,0,6.4,0.9,3.1,0.286,0.8,2.9,0.269,0.1,0.2,0.5,0.3,0.4,0.75,0,0.1,0.1,0.3,0,0,0.3,1.2,2.9,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
"96","Brandon Davies","PF",23,"PHI",14,5,21.3,2.9,6.6,0.435,0.5,1.8,0.28,2.4,4.8,0.493,1,1.6,0.609,1.6,2.2,3.9,1.6,0.8,0.2,1.4,2.7,7.2,"player_per_game_total","2014-2015","Basketball-Reference",2014-11-26 10:35:39
